subnum,trial,diff,resp,corr,abstime,rt
1,1,-26,<rshift>,1,35619,2055
1,2,-30,<lshift>,0,38431,452
1,3,-40,<lshift>,0,39642,528
1,4,-34,<rshift>,1,40927,309
1,5,-22,<rshift>,1,41993,364
1,6,-28,<lshift>,0,43115,276
1,7,-43,<lshift>,0,44148,358
1,8,-28,<rshift>,1,45261,319
1,9,-41,<lshift>,0,46338,303
1,10,-36,<rshift>,1,47397,300
1,11,-50,<lshift>,0,48455,326
1,12,-38,<rshift>,1,49537,272
1,13,-43,<lshift>,0,50563,459
1,14,-36,<rshift>,1,51777,404
1,15,-51,<lshift>,0,52950,356
1,16,-33,<rshift>,1,54060,248
1,17,-42,<lshift>,0,55065,397
1,18,-39,<rshift>,1,56218,308
1,19,-56,<lshift>,0,57281,322
1,20,-50,<rshift>,1,58363,144
1,21,-34,<rshift>,1,59266,293
1,22,-46,<lshift>,0,60316,345
1,23,-39,<rshift>,1,61420,266
1,24,-25,<rshift>,1,62442,356
1,25,-34,<lshift>,0,63558,271
1,26,-25,<rshift>,1,64590,291
1,27,-28,<lshift>,0,65641,69
1,28,-24,<rshift>,1,66468,176
1,29,-37,<lshift>,0,67405,56
1,30,-30,<rshift>,1,68215,68
1,31,-38,<lshift>,0,69037,17
1,32,-36,<rshift>,1,69811,19
1,33,-43,<lshift>,0,70587,785
1,34,-30,<rshift>,1,72133,88
1,35,-42,<lshift>,0,72980,31
1,36,-29,<rshift>,1,73769,190
1,37,-41,<lshift>,0,74716,15
1,38,-37,<rshift>,1,75487,51
1,39,-49,<lshift>,0,76295,15
1,40,-41,<rshift>,1,77073,19
1,41,-58,<lshift>,0,77849,726
1,42,-53,<rshift>,1,79349,31
1,43,-69,<lshift>,0,80137,11
1,44,-66,<rshift>,1,80904,3
1,45,-76,<lshift>,0,81663,24
1,46,-71,<rshift>,1,82442,17
1,47,-61,<rshift>,1,83216,419
1,48,-49,<rshift>,1,84397,189
1,49,-53,<lshift>,0,85346,580
1,50,-43,<rshift>,1,86682,254
subnum,trial,diff,resp,corr,abstime,rt
2,1,-55,<lshift>,0,1974,883
2,2,-48,<rshift>,1,3616,979
2,3,-36,<rshift>,1,5355,261
2,4,-31,<rshift>,1,6373,244
2,5,-38,<lshift>,0,7380,367
2,6,-30,<rshift>,1,8507,151
2,7,-25,<rshift>,1,9417,185
2,8,-39,<lshift>,0,10363,333
2,9,-26,<rshift>,1,11456,269
2,10,-34,<lshift>,0,12486,155
2,11,-20,<rshift>,1,13401,210
2,12,-37,<lshift>,0,14370,129
2,13,-24,<rshift>,1,15259,105
2,14,-28,<lshift>,0,16120,402
2,15,-24,<rshift>,1,17281,67
2,16,-40,<lshift>,0,18105,73
2,17,-30,<rshift>,1,18937,77
2,18,-45,<lshift>,0,19773,57
2,19,-28,<rshift>,1,20589,100
2,20,-34,<lshift>,0,21449,297
2,21,-47,<lshift>,0,22507,538
2,22,-32,<rshift>,1,23802,321
2,23,-43,<lshift>,0,24884,292
2,24,-26,<rshift>,1,25937,336
2,25,-38,<lshift>,0,27031,103
2,26,-24,<rshift>,1,27896,104
2,27,-38,<lshift>,0,28760,929
2,28,-31,<rshift>,1,30448,195
2,29,-36,<lshift>,0,31404,233
2,30,-22,<rshift>,1,32399,196
2,31,-36,<lshift>,0,33354,93
2,32,-24,<rshift>,1,34207,112
2,33,-36,<lshift>,0,35077,105
2,34,-21,<rshift>,1,35943,289
2,35,-32,<lshift>,0,36988,176
2,36,-25,<rshift>,1,37924,202
2,37,-30,<lshift>,0,38886,280
2,38,-27,<rshift>,1,39926,247
2,39,-36,<lshift>,0,40933,450
2,40,-27,<rshift>,1,42143,327
2,41,-36,<lshift>,0,43229,400
2,42,-33,<rshift>,1,44387,427
2,43,-49,<lshift>,0,45579,316
2,44,-44,<rshift>,1,46655,198
2,45,-37,<rshift>,1,47613,290
2,46,-28,<rshift>,1,48662,157
2,47,-17,<rshift>,1,49576,154
2,48,-26,<lshift>,0,50491,39
2,49,-9,<rshift>,1,51290,85
2,50,-14,<lshift>,0,52136,3
